Date,New_Deaths,7-Day_Moving_Avg
May-14-2021,690,583
May-13-2021,730,599
May-12-2021,761,591
May-11-2021,645,586
May-10-2021,410,603
May-9-2021,280,607
May-8-2021,566,627
May-7-2021,801,642
May-6-2021,678,644
May-5-2021,727,659
May-4-2021,762,678
May-3-2021,441,650
May-2-2021,420,652
May-1-2021,667,635
Apr-30-2021,817,635
Apr-29-2021,785,638
Apr-28-2021,857,633
Apr-27-2021,569,635
Apr-26-2021,453,661
Apr-25-2021,299,660
Apr-24-2021,665,671
Apr-23-2021,838,668
Apr-22-2021,755,679
Apr-21-2021,868,689
Apr-20-2021,755,684
Apr-19-2021,445,679
Apr-18-2021,373,697
Apr-17-2021,645,692
Apr-16-2021,914,704
Apr-15-2021,829,703
Apr-14-2021,832,714
Apr-13-2021,720,705
Apr-12-2021,566,702
Apr-11-2021,341,668
Apr-10-2021,729,677
Apr-9-2021,905,667
Apr-8-2021,910,648
Apr-7-2021,770,629
Apr-6-2021,694,650
Apr-5-2021,331,656
Apr-4-2021,405,698
Apr-3-2021,659,714
Apr-2-2021,767,727
Apr-1-2021,782,783
Mar-31-2021,917,822
Mar-30-2021,734,844
Mar-29-2021,626,842
Mar-28-2021,516,890
Mar-27-2021,750,881
Mar-26-2021,1162,870
Mar-25-2021,1054,875
Mar-24-2021,1068,857
Mar-23-2021,724,849
Mar-22-2021,959,880
Mar-21-2021,451,848
Mar-20-2021,677,868
Mar-19-2021,1196,902
Mar-18-2021,930,883
Mar-17-2021,1006,939
Mar-16-2021,941,989
Mar-15-2021,736,1030
Mar-14-2021,592,1058
Mar-13-2021,916,1099
Mar-12-2021,1061,1179
Mar-11-2021,1326,1314
Mar-10-2021,1351,1347
Mar-9-2021,1232,1385
Mar-8-2021,929,1478
Mar-7-2021,879,1532
Mar-6-2021,1481,1535
Mar-5-2021,2003,1566
Mar-4-2021,1556,1548
Mar-3-2021,1617,1635
Mar-2-2021,1881,1705
Mar-1-2021,1313,1715
Feb-28-2021,899,1762
Feb-27-2021,1695,1820
Feb-26-2021,1877,1867
Feb-25-2021,2167,1944
Feb-24-2021,2108,1978
Feb-23-2021,1946,2047
Feb-22-2021,1643,1984
Feb-21-2021,1304,1930
Feb-20-2021,2026,1935
Feb-19-2021,2420,1927
Feb-18-2021,2404,1953
Feb-17-2021,2587,2065
Feb-16-2021,1506,2148
Feb-15-2021,1265,2315
Feb-14-2021,1339,2363
Feb-13-2021,1968,2392
Feb-12-2021,2605,2495
Feb-11-2021,3190,2601
Feb-10-2021,3168,2620
Feb-9-2021,2676,2643
Feb-8-2021,1595,2715
Feb-7-2021,1542,2760
Feb-6-2021,2689,2828
Feb-5-2021,3349,2848
Feb-4-2021,3327,2839
Feb-3-2021,3328,2872
Feb-2-2021,3176,2926
Feb-1-2021,1912,2987
Jan-31-2021,2016,3034
Jan-30-2021,2834,3053
Jan-29-2021,3284,3104
Jan-28-2021,3557,3175
Jan-27-2021,3705,3229
Jan-26-2021,3603,3299
Jan-25-2021,2239,3127
Jan-24-2021,2149,3097
Jan-23-2021,3192,3095
Jan-22-2021,3786,3139
Jan-21-2021,3931,3108
Jan-20-2021,4195,3087
Jan-19-2021,2401,3062
Jan-18-2021,2030,3300
Jan-17-2021,2136,3342
Jan-16-2021,3499,3372
Jan-15-2021,3564,3364
Jan-14-2021,3786,3373
Jan-13-2021,4024,3422
Jan-12-2021,4062,3389
Jan-11-2021,2323,3340
Jan-10-2021,2352,3313
Jan-9-2021,3441,3228
Jan-8-2021,3625,3108
Jan-7-2021,4129,2959
Jan-6-2021,3791,2840
Jan-5-2021,3721,2833
Jan-4-2021,2138,2811
Jan-3-2021,1755,2795
Jan-2-2021,2597,2789
Jan-1-2021,2586,2648
Dec-31-2020,3295,2531
Dec-30-2020,3745,2464
Dec-29-2020,3567,2410
Dec-28-2020,2021,2366
Dec-27-2020,1713,2356
Dec-26-2020,1611,2371
Dec-25-2020,1768,2513
Dec-24-2020,2829,2655
Dec-23-2020,3363,2745
Dec-22-2020,3261,2755
Dec-21-2020,1948,2715
Dec-20-2020,1817,2711
Dec-19-2020,2610,2689
Dec-18-2020,2763,2660
Dec-17-2020,3456,2699
Dec-16-2020,3431,2613
Dec-15-2020,2986,2581
Dec-14-2020,1920,2537
Dec-13-2020,1663,2527
Dec-12-2020,2402,2479
Dec-11-2020,3041,2471
Dec-10-2020,2849,2387
Dec-9-2020,3208,2389
Dec-8-2020,2682,2322
Dec-7-2020,1844,2304
Dec-6-2020,1327,2256
Dec-5-2020,2348,2212
Dec-4-2020,2453,2077
Dec-3-2020,2861,1945
Dec-2-2020,2745,1744
Dec-1-2020,2556,1676
Nov-30-2020,1507,1611
Nov-29-2020,1017,1576
Nov-28-2020,1401,1585
Nov-27-2020,1532,1596
Nov-26-2020,1451,1652
Nov-25-2020,2269,1724
Nov-24-2020,2103,1657
Nov-23-2020,1264,1590
Nov-22-2020,1076,1545
Nov-21-2020,1482,1506
Nov-20-2020,1920,1485
Nov-19-2020,1956,1400
Nov-18-2020,1800,1365
Nov-17-2020,1632,1252
Nov-16-2020,952,1288
Nov-15-2020,805,1277
Nov-14-2020,1336,1252
Nov-13-2020,1321,1217
Nov-12-2020,1712,1203
Nov-11-2020,1008,1126
Nov-10-2020,1887,1150
Nov-9-2020,875,1044
Nov-8-2020,625,1015
Nov-7-2020,1096,1000
Nov-6-2020,1224,962
Nov-5-2020,1168,937
Nov-4-2020,1181,927
Nov-3-2020,1145,911
Nov-2-2020,668,882
Nov-1-2020,519,875
Oct-31-2020,834,864
Oct-30-2020,1044,873
Oct-29-2020,1103,861
Oct-28-2020,1064,846
Oct-27-2020,944,844
Oct-26-2020,620,831
Oct-25-2020,445,834
Oct-24-2020,891,853
Oct-23-2020,964,816
Oct-22-2020,996,818
Oct-21-2020,1052,799
Oct-20-2020,854,762
Oct-19-2020,637,751
Oct-18-2020,577,725
Oct-17-2020,634,726
Oct-16-2020,979,719
Oct-15-2020,861,709
Oct-14-2020,798,718
Oct-13-2020,771,720
Oct-12-2020,457,703
Oct-11-2020,587,707
Oct-10-2020,586,689
Oct-9-2020,907,701
Oct-8-2020,923,690
Oct-7-2020,815,679
Oct-6-2020,650,675
Oct-5-2020,484,712
Oct-4-2020,460,693
Oct-3-2020,668,675
Oct-2-2020,836,690
Oct-1-2020,841,688
Sep-30-2020,788,691
Sep-29-2020,907,733
Sep-28-2020,355,713
Sep-27-2020,333,735
Sep-26-2020,776,737
Sep-25-2020,822,713
Sep-24-2020,858,720
Sep-23-2020,1085,711
Sep-22-2020,767,725
Sep-21-2020,510,742
Sep-20-2020,347,733
Sep-19-2020,602,762
Sep-18-2020,872,781
Sep-17-2020,796,787
Sep-16-2020,1187,816
Sep-15-2020,882,800
Sep-14-2020,449,744
Sep-13-2020,550,724
Sep-12-2020,735,718
Sep-11-2020,912,727
Sep-10-2020,1002,727
Sep-9-2020,1075,724
Sep-8-2020,488,695
Sep-7-2020,309,772
Sep-6-2020,511,801
Sep-5-2020,792,797
Sep-4-2020,914,815
Sep-3-2020,984,815
Sep-2-2020,873,816
Sep-1-2020,1023,839
Aug-31-2020,515,844
Aug-30-2020,482,849
