Date,Total_Cases,Total_Rate_per_100k
May-14-2021,32722464,9983.2
May-13-2021,32681970,9970.9
May-12-2021,32644077,9959.3
May-11-2021,32608642,9948.5
May-10-2021,32573903,9937.9
May-9-2021,32551367,9931
May-8-2021,32523654,9922.6
May-7-2021,32485172,9910.8
May-6-2021,32439433,9896.9
May-5-2021,32394104,9883
May-4-2021,32349078,9869.3
May-3-2021,32304350,9855.7
May-2-2021,32271488,9845.6
May-1-2021,32233464,9834
Apr-30-2021,32182426,9818.5
Apr-29-2021,32128260,9801.9
Apr-28-2021,32067727,9783.5
Apr-27-2021,32012804,9766.7
Apr-26-2021,31960871,9750.9
Apr-25-2021,31931261,9741.8
Apr-24-2021,31889545,9729.1
Apr-23-2021,31831901,9711.5
Apr-22-2021,31768935,9692.3
Apr-21-2021,31702677,9672.1
Apr-20-2021,31638622,9652.5
Apr-19-2021,31578310,9634.1
Apr-18-2021,31532792,9620.3
Apr-17-2021,31478264,9603.6
Apr-16-2021,31407009,9581.9
Apr-15-2021,31330282,9558.5
Apr-14-2021,31256773,9536
Apr-13-2021,31182072,9513.3
Apr-12-2021,31103849,9489.4
Apr-11-2021,31044921,9471.4
Apr-10-2021,30990225,9454.7
Apr-9-2021,30921116,9433.6
Apr-8-2021,30839107,9408.6
Apr-7-2021,30761433,9384.9
Apr-6-2021,30684907,9361.6
Apr-5-2021,30623466,9342.8
Apr-4-2021,30560234,9323.5
Apr-3-2021,30518540,9310.8
Apr-2-2021,30450169,9290
Apr-1-2021,30384504,9269.9
Mar-31-2021,30309261,9247
Mar-30-2021,30239341,9225.6
Mar-29-2021,30176608,9206.5
Mar-28-2021,30114316,9187.5
Mar-27-2021,30066451,9172.9
Mar-26-2021,30003029,9153.5
Mar-25-2021,29931235,9131.6
Mar-24-2021,29863176,9110.9
Mar-23-2021,29797342,9090.8
Mar-22-2021,29737192,9072.4
Mar-21-2021,29681559,9055.5
Mar-20-2021,29642234,9043.5
Mar-19-2021,29581261,9024.9
Mar-18-2021,29519611,9006.1
Mar-17-2021,29460861,8988.1
Mar-16-2021,29402943,8970.5
Mar-15-2021,29350707,8954.5
Mar-14-2021,29305305,8940.7
Mar-13-2021,29262714,8927.7
Mar-12-2021,29209785,8911.5
Mar-11-2021,29147115,8892.4
Mar-10-2021,29086442,8873.9
Mar-9-2021,29025519,8855.3
Mar-8-2021,28971627,8838.9
Mar-7-2021,28928336,8825.7
Mar-6-2021,28886036,8812.8
Mar-5-2021,28827813,8795
Mar-4-2021,28761905,8774.9
Mar-3-2021,28695880,8754.8
Mar-2-2021,28631503,8735.1
Mar-1-2021,28576057,8718.2
Feb-28-2021,28524798,8702.6
Feb-27-2021,28474317,8687.2
Feb-26-2021,28404509,8665.9
Feb-25-2021,28331329,8643.5
Feb-24-2021,28257617,8621
Feb-23-2021,28182046,8598
Feb-22-2021,28112734,8576.8
Feb-21-2021,28056641,8559.7
Feb-20-2021,28002444,8543.2
Feb-19-2021,27932572,8521.9
Feb-18-2021,27859438,8499.6
Feb-17-2021,27791504,8478.8
Feb-16-2021,27721334,8457.4
Feb-15-2021,27664528,8440.1
Feb-14-2021,27608918,8423.1
Feb-13-2021,27542849,8403
Feb-12-2021,27454589,8376
Feb-11-2021,27356421,8346.1
Feb-10-2021,27255539,8315.3
Feb-9-2021,27159280,8286
Feb-8-2021,27067505,8258
Feb-7-2021,26984920,8232.8
Feb-6-2021,26894045,8205
Feb-5-2021,26785771,8172
Feb-4-2021,26658250,8133.1
Feb-3-2021,26533303,8095
Feb-2-2021,26414290,8058.7
Feb-1-2021,26294480,8022.1
Jan-31-2021,26167659,7983.4
Jan-30-2021,26057592,7949.8
Jan-29-2021,25900534,7901.9
Jan-28-2021,25751617,7856.5
Jan-27-2021,25594951,7808.7
Jan-26-2021,25438700,7761
Jan-25-2021,25289171,7715.4
Jan-24-2021,25153794,7674.1
Jan-23-2021,25013435,7631.3
Jan-22-2021,24843518,7579.4
Jan-21-2021,24653582,7521.5
Jan-20-2021,24464377,7463.8
Jan-19-2021,24276012,7406.3
Jan-18-2021,24126292,7360.6
Jan-17-2021,23973444,7314
Jan-16-2021,23789141,7257.8
Jan-15-2021,23575950,7192.7
Jan-14-2021,23329450,7117.5
Jan-13-2021,23103568,7048.6
Jan-12-2021,22878499,6979.9
Jan-11-2021,22656164,6912.1
Jan-10-2021,22453010,6850.1
Jan-9-2021,22235083,6783.6
Jan-8-2021,21991888,6709.4
Jan-7-2021,21679064,6614
Jan-6-2021,21398811,6528.5
Jan-5-2021,21148576,6452.2
Jan-4-2021,20913267,6380.4
Jan-3-2021,20730385,6324.6
Jan-2-2021,20522095,6261
Jan-1-2021,20241627,6175.5
Dec-31-2020,20067944,6122.5
Dec-30-2020,19836427,6051.8
Dec-29-2020,19598666,5979.3
Dec-28-2020,19389921,5915.6
Dec-27-2020,19208373,5860.2
Dec-26-2020,19059431,5814.8
Dec-25-2020,18875456,5758.7
Dec-24-2020,18741177,5717.7
